"","companyName","marketcap","week52high","week52low","week52highSplitAdjustOnly","week52lowSplitAdjustOnly","week52change","sharesOutstanding","float","avg10Volume","avg30Volume","day200MovingAvg","day50MovingAvg","employees","ttmEPS","ttmDividendRate","dividendYield","nextDividendDate","exDividendDate","nextEarningsDate","peRatio","beta","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","symbol"
"3225","Exponent Inc.",5494085693,127.07,83.28,127.61,83.49,0.0428001092061583,52116161,0,299723,276724,107.09,99.66,1168,1.9,0.837458836361919,0.00794402235213355,NA,2022-03-10,2022-04-28,54.2883114228968,0.8960863763448,23.9917026219715,2.7135409327885,0.518742247456157,0.0530279798584177,-0.0946371291529077,-0.0625175077656668,0.0151091613072203,0.116973935155753,0.116973935155753,-0.00151543853002456,"EXPO"
"3224","Exponent Inc.",5494085693,127.07,83.28,127.61,83.49,0.0428001092061583,52116161,0,299723,276724,107.09,99.66,1168,1.9,0.837458836361919,0.00794402235213355,NA,2022-03-10,2022-04-28,54.2883114228968,0.8960863763448,23.9917026219715,2.7135409327885,0.518742247456157,0.0530279798584177,-0.0946371291529077,-0.0625175077656668,0.0151091613072203,0.116973935155753,0.116973935155753,-0.00151543853002456,"EXPO"
"3223","Exponent Inc.",5494085693,127.07,83.28,127.61,83.49,0.0428001092061583,52116161,0,299723,276724,107.09,99.66,1168,1.9,0.837458836361919,0.00794402235213355,NA,2022-03-10,2022-04-28,54.2883114228968,0.8960863763448,23.9917026219715,2.7135409327885,0.518742247456157,0.0530279798584177,-0.0946371291529077,-0.0625175077656668,0.0151091613072203,0.116973935155753,0.116973935155753,-0.00151543853002456,"EXPO"
"3222","Exponent Inc.",5494085693,127.07,83.28,127.61,83.49,0.0428001092061583,52116161,0,299723,276724,107.09,99.66,1168,1.9,0.837458836361919,0.00794402235213355,NA,2022-03-10,2022-04-28,54.2883114228968,0.8960863763448,23.9917026219715,2.7135409327885,0.518742247456157,0.0530279798584177,-0.0946371291529077,-0.0625175077656668,0.0151091613072203,0.116973935155753,0.116973935155753,-0.00151543853002456,"EXPO"
"3221","Exponent Inc.",5494085693,127.07,83.28,127.61,83.49,0.0428001092061583,52116161,0,299723,276724,107.09,99.66,1168,1.9,0.837458836361919,0.00794402235213355,NA,2022-03-10,2022-04-28,54.2883114228968,0.8960863763448,23.9917026219715,2.7135409327885,0.518742247456157,0.0530279798584177,-0.0946371291529077,-0.0625175077656668,0.0151091613072203,0.116973935155753,0.116973935155753,-0.00151543853002456,"EXPO"
"3220","eXp World Holdings Inc",2560238628,55.29,16.12,55.43,16.12,-0.560753125901273,148764592,0,2252881,1574762,33.29,23.17,900,0.5149,0.0799346866799577,0.00464466511795222,NA,2022-03-10,2022-05-05,31.5222682629894,2.298159534858,16.2669810374235,42.1652871833459,1.09293558233713,-0.586918691869187,-0.488330607997622,-0.585740419795879,-0.432020699396708,-0.24451273046532,-0.24451273046532,-0.209462563160312,"EXPI"
"3219","eXp World Holdings Inc",2560238628,55.29,16.12,55.43,16.12,-0.560753125901273,148764592,0,2252881,1574762,33.29,23.17,900,0.5149,0.0799346866799577,0.00464466511795222,NA,2022-03-10,2022-05-05,31.5222682629894,2.298159534858,16.2669810374235,42.1652871833459,1.09293558233713,-0.586918691869187,-0.488330607997622,-0.585740419795879,-0.432020699396708,-0.24451273046532,-0.24451273046532,-0.209462563160312,"EXPI"
"3218","eXp World Holdings Inc",2560238628,55.29,16.12,55.43,16.12,-0.560753125901273,148764592,0,2252881,1574762,33.29,23.17,900,0.5149,0.0799346866799577,0.00464466511795222,NA,2022-03-10,2022-05-05,31.5222682629894,2.298159534858,16.2669810374235,42.1652871833459,1.09293558233713,-0.586918691869187,-0.488330607997622,-0.585740419795879,-0.432020699396708,-0.24451273046532,-0.24451273046532,-0.209462563160312,"EXPI"
"3217","eXp World Holdings Inc",2560238628,55.29,16.12,55.43,16.12,-0.560753125901273,148764592,0,2252881,1574762,33.29,23.17,900,0.5149,0.0799346866799577,0.00464466511795222,NA,2022-03-10,2022-05-05,31.5222682629894,2.298159534858,16.2669810374235,42.1652871833459,1.09293558233713,-0.586918691869187,-0.488330607997622,-0.585740419795879,-0.432020699396708,-0.24451273046532,-0.24451273046532,-0.209462563160312,"EXPI"
"3216","Expedia Group Inc",26635939457,217.72,136.77,217.72,136.77,0.0325548890571312,150230905,0,2273667,2617490,178.49,187.85,19100,-1.8,0,0,NA,NA,2022-05-02,-99.0183622918216,1.42175125155654,18.805851271797,0.417860078881962,1.84043575776995,0.0132586581323582,-0.0189243027888446,0.0521630763752894,-0.0283334246725488,-0.0112096369416095,-0.0112096369416095,-0.101322925642455,"EXPE"
"3215","Expedia Group Inc",26635939457,217.72,136.77,217.72,136.77,0.0325548890571312,150230905,0,2273667,2617490,178.49,187.85,19100,-1.8,0,0,NA,NA,2022-05-02,-99.0183622918216,1.42175125155654,18.805851271797,0.417860078881962,1.84043575776995,0.0132586581323582,-0.0189243027888446,0.0521630763752894,-0.0283334246725488,-0.0112096369416095,-0.0112096369416095,-0.101322925642455,"EXPE"
"3214","Expedia Group Inc",26635939457,217.72,136.77,217.72,136.77,0.0325548890571312,150230905,0,2273667,2617490,178.49,187.85,19100,-1.8,0,0,NA,NA,2022-05-02,-99.0183622918216,1.42175125155654,18.805851271797,0.417860078881962,1.84043575776995,0.0132586581323582,-0.0189243027888446,0.0521630763752894,-0.0283334246725488,-0.0112096369416095,-0.0112096369416095,-0.101322925642455,"EXPE"
"3213","Expedia Group Inc",26635939457,217.72,136.77,217.72,136.77,0.0325548890571312,150230905,0,2273667,2617490,178.49,187.85,19100,-1.8,0,0,NA,NA,2022-05-02,-99.0183622918216,1.42175125155654,18.805851271797,0.417860078881962,1.84043575776995,0.0132586581323582,-0.0189243027888446,0.0521630763752894,-0.0283334246725488,-0.0112096369416095,-0.0112096369416095,-0.101322925642455,"EXPE"
"3212","Expedia Group Inc",26635939457,217.72,136.77,217.72,136.77,0.0325548890571312,150230905,0,2273667,2617490,178.49,187.85,19100,-1.8,0,0,NA,NA,2022-05-02,-99.0183622918216,1.42175125155654,18.805851271797,0.417860078881962,1.84043575776995,0.0132586581323582,-0.0189243027888446,0.0521630763752894,-0.0283334246725488,-0.0112096369416095,-0.0112096369416095,-0.101322925642455,"EXPE"
"3211","Expeditors International Of Washington, Inc.",16224220363,137.8,94.95,137.8,94.95,-0.106837595022914,167398064,0,1405542,1302009,116.76,101.89,17500,8.27,1.15734615175624,0.0119412520816781,NA,2021-11-30,2022-05-03,11.461894777844,0.874481783786119,1.76490070948288,0.816079763602329,0.386054506893805,-0.101917367502233,-0.278278352818527,-0.1564244302688,-0.224267648471266,-0.0265166733627963,-0.0265166733627963,-0.0352379056340831,"EXPD"
"3210","Expeditors International Of Washington, Inc.",16224220363,137.8,94.95,137.8,94.95,-0.106837595022914,167398064,0,1405542,1302009,116.76,101.89,17500,8.27,1.15734615175624,0.0119412520816781,NA,2021-11-30,2022-05-03,11.461894777844,0.874481783786119,1.76490070948288,0.816079763602329,0.386054506893805,-0.101917367502233,-0.278278352818527,-0.1564244302688,-0.224267648471266,-0.0265166733627963,-0.0265166733627963,-0.0352379056340831,"EXPD"
"3209","Expeditors International Of Washington, Inc.",16224220363,137.8,94.95,137.8,94.95,-0.106837595022914,167398064,0,1405542,1302009,116.76,101.89,17500,8.27,1.15734615175624,0.0119412520816781,NA,2021-11-30,2022-05-03,11.461894777844,0.874481783786119,1.76490070948288,0.816079763602329,0.386054506893805,-0.101917367502233,-0.278278352818527,-0.1564244302688,-0.224267648471266,-0.0265166733627963,-0.0265166733627963,-0.0352379056340831,"EXPD"
"3208","Expeditors International Of Washington, Inc.",16224220363,137.8,94.95,137.8,94.95,-0.106837595022914,167398064,0,1405542,1302009,116.76,101.89,17500,8.27,1.15734615175624,0.0119412520816781,NA,2021-11-30,2022-05-03,11.461894777844,0.874481783786119,1.76490070948288,0.816079763602329,0.386054506893805,-0.101917367502233,-0.278278352818527,-0.1564244302688,-0.224267648471266,-0.0265166733627963,-0.0265166733627963,-0.0352379056340831,"EXPD"
