"","changePercent","change","label","fVolume","fLow","fHigh","fClose","fOpen","uVolume","uLow","uHigh","uClose","uOpen","marketChangeOverTime","changeOverTime","updated","date","subkey","key","id","volume","symbol","open","low","high","close"
"69",0,0,"Apr 3, 17",67728,115.6267,118.25,116.05,116.35,67728,115.6267,118.25,116.05,116.35,0,0,1647302657296.88,2017-04-03,NA,"CVCO","HISTORICAL_PRICES",67728,"CVCO",116.35,115.6267,118.25,116.05
"70",0,0,"Dec 31, 21",283179,21.0953,21.3136,21.2441,21.2243,283179,21.26,21.48,21.41,21.39,0,0,1649283495000,2021-12-31,NA,"CVBF","HISTORICAL_PRICES",283179,"CVBF",21.39,21.26,21.48,21.41
"71",0,0,"Dec 31, 20",265221,18.3878,18.8098,18.7043,18.6851,265221,19.17,19.61,19.5,19.48,0,0,1649283474000,2020-12-31,NA,"CVBF","HISTORICAL_PRICES",265221,"CVBF",19.48,19.17,19.61,19.5
"72",0,0,"Dec 31, 19",589277,19.7035,19.8498,19.74,19.7035,589277,21.54,21.7,21.58,21.54,0,0,1649283504000,2019-12-31,NA,"CVBF","HISTORICAL_PRICES",589277,"CVBF",21.54,21.54,21.7,21.58
"73",0,0,"Dec 31, 18",490566,17.6151,18.056,17.9143,18.056,490566,19.8921,20.39,20.23,20.39,0,0,1649283553000,2018-12-31,NA,"CVBF","HISTORICAL_PRICES",490566,"CVBF",20.39,19.8921,20.39,20.23
"74",0,0,"Jan 2, 18",378593,20.1547,20.6558,20.293,20.5176,378593,23.33,23.91,23.49,23.75,0,0,1649283481000,2018-01-02,NA,"CVBF","HISTORICAL_PRICES",378593,"CVBF",23.75,23.33,23.91,23.49
"75",0,0,"Dec 31, 21",577049,38.92,41.53,41.32,39.34,577049,38.92,41.53,41.32,39.34,0,0,1647302657300.89,2021-12-31,NA,"CUTR","HISTORICAL_PRICES",577049,"CUTR",39.34,38.92,41.53,41.32
"76",0,0,"Dec 31, 20",100902,23.12,24.86,24.11,24.01,100902,23.12,24.86,24.11,24.01,0,0,1647302657296.88,2020-12-31,NA,"CUTR","HISTORICAL_PRICES",100902,"CUTR",24.01,23.12,24.86,24.11
"77",0,0,"Dec 31, 19",65888,35.55,36.19,35.81,35.55,65888,35.55,36.19,35.81,35.55,0,0,1647302657305.46,2019-12-31,NA,"CUTR","HISTORICAL_PRICES",65888,"CUTR",35.55,35.55,36.19,35.81
"78",0,0,"Dec 31, 18",187888,16.35,17.24,17.02,16.76,187888,16.35,17.24,17.02,16.76,0,0,1647302657310.58,2018-12-31,NA,"CUTR","HISTORICAL_PRICES",187888,"CUTR",16.76,16.35,17.24,17.02
"79",0,0,"Jan 2, 18",258037,44.6,46.45,45.3,45.85,258037,44.6,46.45,45.3,45.85,0,0,1647302657294.81,2018-01-02,NA,"CUTR","HISTORICAL_PRICES",258037,"CUTR",45.85,44.6,46.45,45.3
"80",0,0,"Dec 31, 21",444724,94.52,96.01,94.59,95.42,444724,94.52,96.01,94.59,95.42,0,0,1647302657296.88,2021-12-31,NA,"CTXS","HISTORICAL_PRICES",444724,"CTXS",95.42,94.52,96.01,94.59
"81",0,0,"Dec 31, 20",598217,126.1379,128.4944,128.2775,126.8676,598217,127.93,130.32,130.1,128.67,0,0,1647302657305.46,2020-12-31,NA,"CTXS","HISTORICAL_PRICES",598217,"CTXS",128.67,127.93,130.32,130.1
"82",0,0,"Dec 31, 19",655235,107.3467,108.2342,108.1659,107.3467,655235,110.06,110.97,110.9,110.06,0,0,1647302657300.61,2019-12-31,NA,"CTXS","HISTORICAL_PRICES",655235,"CTXS",110.06,110.06,110.97,110.9
"83",0,0,"Dec 31, 18",1299433,97.9674,99.0638,98.5445,98.5829,1299433,101.86,103,102.46,102.5,0,0,1647302657307.13,2018-12-31,NA,"CTXS","HISTORICAL_PRICES",1299433,"CTXS",102.5,101.86,103,102.46
"84",0,0,"Jan 2, 18",1330677,84.7909,86.0028,85.3007,85.1949,1330677,88.16,89.42,88.69,88.58,0,0,1647302657317.09,2018-01-02,NA,"CTXS","HISTORICAL_PRICES",1330677,"CTXS",88.58,88.16,89.42,88.69
"85",0,0,"Dec 31, 21",1356526,88.3823,88.9008,88.4521,88.4521,1356526,88.65,89.17,88.72,88.72,0,0,1647302657303.49,2021-12-31,NA,"CTSH","HISTORICAL_PRICES",1356526,"CTSH",88.72,88.65,89.17,88.72
"86",0,0,"Dec 31, 20",1500749,79.514,80.9513,80.6756,80.1047,1500749,80.77,82.23,81.95,81.37,0,0,1647302657307.77,2020-12-31,NA,"CTSH","HISTORICAL_PRICES",1500749,"CTSH",81.37,80.77,82.23,81.95
"87",0,0,"Dec 31, 19",2035840,59.7045,60.2872,60.2387,59.7725,2035840,61.47,62.07,62.02,61.54,0,0,1647302657303.45,2019-12-31,NA,"CTSH","HISTORICAL_PRICES",2035840,"CTSH",61.54,61.47,62.07,62.02
"88",0,0,"Dec 31, 18",2338223,60.4502,61.0641,60.8914,60.6612,2338223,63.02,63.66,63.48,63.24,0,0,1647302657296.13,2018-12-31,NA,"CTSH","HISTORICAL_PRICES",2338223,"CTSH",63.24,63.02,63.66,63.48
"89",0,0,"Jan 2, 18",3068575,66.9494,67.6992,67.3385,67.5378,3068575,70.54,71.33,70.95,71.16,0,0,1647302657307.13,2018-01-02,NA,"CTSH","HISTORICAL_PRICES",3068575,"CTSH",71.16,70.54,71.33,70.95
"90",0,0,"Feb 1, 21",82549,57.0701,59.9599,58.25,59.5,82549,57.0701,59.9599,58.25,59.5,0,0,1647302657300.61,2021-02-01,NA,"CTRN","HISTORICAL_PRICES",82549,"CTRN",59.5,57.0701,59.9599,58.25
"91",0,0,"Feb 3, 20",112982,23.0762,23.6439,23.4647,23.3153,112982,23.17,23.74,23.56,23.41,0,0,1647302657303.49,2020-02-03,NA,"CTRN","HISTORICAL_PRICES",112982,"CTRN",23.41,23.17,23.74,23.56
"92",0,0,"Feb 4, 19",33567,19.9827,20.3153,20.1197,20.0806,33567,20.43,20.77,20.57,20.53,0,0,1647302657296.13,2019-02-04,NA,"CTRN","HISTORICAL_PRICES",33567,"CTRN",20.53,20.43,20.77,20.57
"93",0,0,"Jan 29, 18",89200,23.0194,23.8112,23.4539,23.3767,89200,23.84,24.66,24.29,24.21,0,0,1647302657294.81,2018-01-29,NA,"CTRN","HISTORICAL_PRICES",89200,"CTRN",24.21,23.84,24.66,24.29
"94",0,0,"Jan 30, 17",113637,15.156,15.4983,15.3842,15.4413,113637,15.94,16.3,16.18,16.24,0,0,1647302657300.61,2017-01-30,NA,"CTRN","HISTORICAL_PRICES",113637,"CTRN",16.24,15.94,16.3,16.18
"95",0,0,"Dec 31, 21",642834,4.223,4.45,4.33,4.24,642834,4.223,4.45,4.33,4.24,0,0,1647302657299.42,2021-12-31,NA,"CTMX","HISTORICAL_PRICES",642834,"CTMX",4.24,4.223,4.45,4.33
"96",0,0,"Dec 31, 20",542312,6.54,6.88,6.55,6.85,542312,6.54,6.88,6.55,6.85,0,0,1647302657303.49,2020-12-31,NA,"CTMX","HISTORICAL_PRICES",542312,"CTMX",6.85,6.54,6.88,6.55
"97",0,0,"Dec 31, 19",448775,8.16,8.44,8.31,8.29,448775,8.16,8.44,8.31,8.29,0,0,1647302657296.88,2019-12-31,NA,"CTMX","HISTORICAL_PRICES",448775,"CTMX",8.29,8.16,8.44,8.31
"98",0,0,"Dec 31, 18",243519,14.73,15.43,15.1,15.07,243519,14.73,15.43,15.1,15.07,0,0,1647302657310.58,2018-12-31,NA,"CTMX","HISTORICAL_PRICES",243519,"CTMX",15.07,14.73,15.43,15.1
"99",0,0,"Jan 2, 18",291371,20.525,21.78,21.76,21.11,291371,20.525,21.78,21.76,21.11,0,0,1647302657303.49,2018-01-02,NA,"CTMX","HISTORICAL_PRICES",291371,"CTMX",21.11,20.525,21.78,21.76
"100",0,0,"Dec 31, 20",405121,3.17,3.3,3.22,3.25,405121,3.17,3.3,3.22,3.25,0,0,1647302657300.21,2020-12-31,NA,"CTIC","HISTORICAL_PRICES",405121,"CTIC",3.25,3.17,3.3,3.22
"101",0,0,"Dec 31, 19",334248,1.58,1.65,1.58,1.63,334248,1.58,1.65,1.58,1.63,0,0,1647302657303.45,2019-12-31,NA,"CTIC","HISTORICAL_PRICES",334248,"CTIC",1.63,1.58,1.65,1.58
"102",0,0,"Dec 31, 18",605445,0.7302,0.85,0.7336,0.8001,605445,0.7302,0.85,0.7336,0.8001,0,0,1647302657306.16,2018-12-31,NA,"CTIC","HISTORICAL_PRICES",605445,"CTIC",0.8001,0.7302,0.85,0.7336
"103",0,0,"Jan 2, 18",96006,2.66,2.76,2.7,2.67,96006,2.66,2.76,2.7,2.67,0,0,1647302657310.58,2018-01-02,NA,"CTIC","HISTORICAL_PRICES",96006,"CTIC",2.67,2.66,2.76,2.7
"104",0,0,"Jun 30, 21",83455,2.865,2.99,2.98,2.87,83455,2.865,2.99,2.98,2.87,0,0,1647302657296.13,2021-06-30,NA,"CTHR","HISTORICAL_PRICES",83455,"CTHR",2.87,2.865,2.99,2.98
"105",0,0,"Jun 30, 20",424131,0.6841,0.75,0.73,0.7099,424131,0.68411,0.75,0.73,0.7099,0,0,1647302657299.42,2020-06-30,NA,"CTHR","HISTORICAL_PRICES",424131,"CTHR",0.7099,0.6841,0.75,0.73
"106",0,0,"Dec 31, 18",82249,0.83,0.91,0.85,0.85,82249,0.83,0.91,0.85,0.85,0,0,1647302657305.46,2018-12-31,NA,"CTHR","HISTORICAL_PRICES",82249,"CTHR",0.85,0.83,0.91,0.85
"107",0,0,"Jan 2, 18",89762,1.2835,1.37,1.29,1.35,89762,1.2835,1.37,1.29,1.35,0,0,1647302657317.09,2018-01-02,NA,"CTHR","HISTORICAL_PRICES",89762,"CTHR",1.35,1.2835,1.37,1.29
"108",0,0,"Dec 31, 21",25838,9.76,10.1998,9.97,9.88,25838,9.76,10.1998,9.97,9.88,0,0,1647302657300.21,2021-12-31,NA,"CTG","HISTORICAL_PRICES",25838,"CTG",9.88,9.76,10.1998,9.97
"109",0,0,"Dec 31, 20",82352,6.1,6.2473,6.12,6.2,82352,6.1,6.2473,6.12,6.2,0,0,1647302657294.81,2020-12-31,NA,"CTG","HISTORICAL_PRICES",82352,"CTG",6.2,6.1,6.2473,6.12
"110",0,0,"Dec 31, 19",5398,5.15,5.28,5.18,5.15,5398,5.15,5.28,5.18,5.15,0,0,1647302657306.16,2019-12-31,NA,"CTG","HISTORICAL_PRICES",5398,"CTG",5.15,5.15,5.28,5.18
"111",0,0,"Dec 31, 18",12659,3.96,4.13,4.08,4.13,12659,3.96,4.13,4.08,4.13,0,0,1647302657300.21,2018-12-31,NA,"CTG","HISTORICAL_PRICES",12659,"CTG",4.13,3.96,4.13,4.08
